ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
 
PSB 363          FOREST RESOURCES CONSERVATION                                2units
Major Features of Nigerian Vegetation Types. Forest Resources with emphasis on Timber, Food, Medicine and Industrial Raw Materials. Effects of Deforestation and Afforestation. Methods for Sustainable Conservation of Forest Resources.
 
PSB 365          VULNERABILITY AND ADAPTATION OF PLANTS TO
CLIMATECHANGE                                                                       1 unit
Adaptive features and physiognomy of trees and shrubs. Physiological adaptations to climate change, C3 and C4 plants. Influence of climate change on periodicity of plants, seed dormancy, dispersal, germination and vegetative propagation. Environmental impact assessment and climate change. Climate change and plant evolution, Plant breeding for adaptation to climate change. Field study on impact of climate change on plants in diverse ecological habitats etc.
 
PSB 367      CLIMATE CHANGE AND GLOBAL MITIGATION STRATEGIES                                                                                                                                                  1 unit
Reduction of carbon emissions, recycling, tree seedling production. Carbon sequestration strategies. Tree planting. Global policy and mitigation issues – energy, natural resource, population, education, integrated adaptation, etc. Global policy frameworks United Nations Framework on Climate Change (UNFCC), Kyoto Protocol, UN Conference on Environment and Development – Rio de Janeiro, Johannesburg Summit, Copenhagen Climate Change Summit etc.
 
PSB 371          PRINCIPLES OF PLANT BIOTECHNOLOGY                                    2units
Traditional Biotechnology, microbial fermentation etc. DNA: Types and functions; Basic structure of DNA; DNA replication, transcription and translation; Concept of genes; genetic codes and gene expression; Genetic modifications in living organisms; Types of DNA in living organisms and their locations in the cell; Gene cloning; Introduction of foreign gene into a host – transformation and transfection; Restriction enzymes and other enzymes used in genetic engineering; Cloning vectors: plasmids, bacteriophages, Yeast artificial chromosomes (YACs), Bacterial artificial chromosomes (BACs), Agrobacteriumtumifaciens in gene transfer, gene gun etc. Genetic engineering of plants and creation of transgenic plants.
 
PSB 391          RESEARCH METHODS AND PLANT BREEDING                2units
Field and laboratory data collection, categorization, organization and presentation. Experimental designs and data analysis. Introductory principles and practice of Plant breeding. Course is designed to prepare students for sound experimental designs, data interpretations and development of independent research capabilities in their final year.
 
PSB 392          STUDENTS INDUSTRIAL WORK EXPERIENCE (SIWES)
FIELD WORK                                                                                 6units
Industrial attachment in an approved Plant Science and Biotechnology based
industry/organization for 6 months.
 
PSB 394          SIWES REPORT                                                                             6units
Detailed written report on activities carried out during the industrial work experience.
 
PSB 396          SIWES SEMINAR                                                                           3units
Oral and visual presentation based on the industrial work experience, using accumulated
data and experience, from the 6 months exercise.
PSB 411          DENDROLOGY                                                                              2units
Morphology of plants and organs. Marking vegetation; physiognomy of trees and shrubs of the Nigerian Rain Forest and Savannas-stilt roots, pneumatophores; bole and classification of Nigerian flora. Forest Ecology. Beyond the forest. Elementary forest mensuration; Silviculture.
 
PSB 413          HERBARIUM AND PHYTOSYSTEMATICS                            2units
The studies of taxonomic characters; taxonomic evidence from external morphology, anatomy, cytology, phytochemistry. Variation within population. Population and environment. Computers and Taxonomy. Uses of phytosystematics in special areas like, pharmacognosy, palynology, phytogeography etc. Chemical plant taxonomy, past and recent advances in taxonomic research.
 
PSB 415          INTRODUCTORY PALYNOLOGY                                            2units
Outline and history of Palynology: Aspects of Palynology. The pollen grain; its form and function; morphological terminology, pollen and spores; development physiology and biochemistry; principles of pollination ecology, the production and dispersal of pollen and spores; pollen analysis in Palaeoecology; geology, melissopalynology, oil and petrochemical industries etc.
 
PSB 417          FRESHWATER PHYCOLOGY                                                    2units
Identification of freshwater algae. Types of freshwater habitats and their characteristics. Algal habitats and their characteristics. Sampling techniques, population estimates and dynamics in relation to seasonal changes. Aquatic pollution. Economic importance of algae etc.
 
PSB 422          PLANT ANATOMY                                                                                          2 units
Anomalous secondary growth.  Reaction wood. Distinction between wood and timber. Softwoods and hardwoods. Wood cell wall morphology under light microscope/ultrastructure. Properties of wood. Moisture characteristics of wood. Biotic agents of wood destruction. Wood preservation chemicals and treatment methods. Wood anatomy and biotechnology in criminology. Manufactured wood products. Some West African timbers and their characteristics etc.
 
PSB 424          TIMBER PRODUCTS TECHNOLOGY                                      2units
Distinction between pulp and paper. Historical perspectives on paper making. Sources of pulp materials. Pulping processes. Laboratory assessment of suitability of pulp elements for paper-making. Paper making procedure. Excursion to Pulp and paper making industries in Nigeria. Fibre cell wall morphology; Light microscope and ultrastructure.
 
PSB 431          ADVANCES IN PLANT PHYSIOLOGY                                    2units
Respiration. Photosynthesis. Protein synthesis. Absorption and translocation. The control of growth and differentiation, plant growth hormones. The control of development, hormones and gene activity. Plant and manometry, chromatography and bioassay of growth hormone etc.
 
PSB 433          PLANT EMBRYOLOGY AND MORPHOGENESIS                2units
Embryo development including endosperm formation, Polyembryony; apomixes. The seed. Embryology in relation to taxonomy. Experimental and applied embryology. Plant apical organization. Tissue differentiation, differentiation without growth. Growth polarity and development pattern. Symmetry and form. Regeneration in lower and higher plants. Chimeras. Abnormal development of organ. Morphogenetic factors and growth. Use of seedling, organ, tissue and cell culture techniques.
 
PSB 441          ADVANCES IN PLANT PATHOLOGY                                     2units
Survey of classification of plant pathogens and diseases. Principles of plant infection, diseased transmission and epidemiology. Physiology and anatomy of the diseases plant. Relation of environment to disease development. Principles of plant disease control. Review study of selected plant diseases.
 
PSB 443          FUNGUS PHYSIOLOGY                                                               2units
Composition of fungal cells, liberation and germination of spores. Growth and reproduction. Nutrition and metabolism. Synthesis of lipids and proteins. Vitamin requirements and their production, Microbial antagonism.
 
PSB 445          PLANT VIROLOGY AND DIAGNOSTICS                               2units
Survey of plant viruses with special reference to structure, physical and chemical properties; serological relationships, transmission, variability, infection, replication, movement, quantitative assays, purification and electron microscopy. Acquired immunity and environmental influence, studies of selected virus diseases and general principles of control.
 
PSB 451          CYTOLOGY                                                                                    2units
Detailed study of the cell and its organelles at the ultrastructural  level. Cytology, heredity, taxonomy and evolution. Energy balance sheet of the cell, metabolic interrelations. Variations in chromosome number and size. Karyotype analysis. Use of cytology in detection and monitoring of environmental pollutions. Effects of mutation on chromosome number and morphology. Recent advances in Cytology etc.
 
PSB 453          GENETICS AND PLANT BREEDING                                             2 units
Studies of pure lines, Hardy-Weinberg equilibrium and quantitative inheritance, heritability, genetic drift and equilibrium, inbreeding depression and heterosis, methods of breeding including breeding for resistance. Effects of polyploidy, mutation, etc in plant breeding. Recent advances in plant breeding.
 
 
PSB 455          ADVANCES IN PLANT MOLECULAR BIOLOGY                2units
The Structure, conformation and other properties of nucleic acids and proteins, with special reference to X-ray crystallography and other physical techniques. Polysaccharides, glycoprotein, cell wall structures and lignin, etc. and related biological macromolecules. Structure and properties of DNA and RNA etc.
 
 
PSB 457          PHYTOBIOINFORMATICS                                                         1 unit
Use of computer information technology to analyze and integrate diverse biological data generated by Plant biotechnological advances.Analysis of varied genomic and post genomic data generated by the – omic technologies.Access to GenBank meta-database for information on DNA sequence data.Sharing of biotechnological information using the internet etc.
PSB 461          AQUATIC AND POLLUTION BIOLOGY                                 2units
Types and sources of Pollution.Water, Land and Air pollution.Methods of remediation and control of pollution, Aquatic plants – Microphytes and Macrophytes.Effects of pollution on plants. Plants used in phytoremediation. Economic importance of pollution etc.
 
PSB 462          PLANT ECOLOGY                                                                        2units
Population Ecology, Pattern, Concept of Plant Community, Vegetational changes and climax vegetation, Allelopathy, Seed dispersal and dormancy. Weed ecology and control measures. Fire as an ecological factor. Primary Productivity etc.
 
PSB 463          ECONOMIC AND INDUSTRIAL BOTANY                              2units
Origin and evolution of cultivated plants with special reference to Nigeria and West Africa. Productivity and the economic aspects of the utilization of food resources, aspects of land use in crops production. Classification, botanical characteristics and economic exploitation of plants used as sources of food, fibres, oil, latex, timber, drugs, etc.
 
PSB 464          PHYTOREMEDIATION AND EROSION MANAGEMENT       2 units
Methods of Phytoremediation: Phytoaccumulation and phytoextration, rhizofiltration, phytostabilization, phytodegradation, phytovolatilization, hydraulic control of pollutants by plants, vegetation cover etc. Plants suitable for phytoremediation. Plant enzymes involved in phytoremediation. Role of micro-organism in degradation. Influence of environmental factors on phytoremediation. Techniques used to enhance phytoremediation. Types, causes and control of soil erosions (in Nigeria). Features of plants for erosion remediation.
 
PSB 465          PHYTO-ENVIRONMENTAL IMPACT ASSESSMENT                  1 unit
Definitions, methods, applications and sustainability of impact assessments.Assessment of the effects of projects, such as mines, pulp and paper mills, breweries and irrigation projects on plants and plant ecosystems before and after establishment.Continuous monitoring of human activities on plants, animals, humanity, atmosphere, etc. Remediation approaches.
 
PSB 466          PHYTOINDUSTRIAL RELATIONS                                           1unit
Relating Plant and Biotech researches to Industrial needs.Initiating research efforts based on specified industrial needs. Fostering synergy between researchers and industrial concerns. Industries related to plants: Mushroom, herbal soap production, herbal cosmetics, herbal teas, seed companies, plant propagation, paper and paper recycling industries etc. Consultancy services in ecological management, conservation, wood and wood products preservation, use of phytoplankton for fish and other animal protein production etc.
 
PSB 467          PHYTOGEOGRAPHY                                                                   1unit
Plant distribution with emphasis on Nigerian ecosystems. Causative factors: Topography, Edaphic, Salinity, Climatic, etc. Adaptation for survival. Major ecosystems in Nigeria: Physiognomy of trees and shrubs in the Tropical Rain Forest, Savanna Ecosystem.
 
 
PSB 469          PLANTS PRODUCTIVITY AND APICULTURE                     1unit
Apiculture, definition and history.Genetic diversity of bees.Colony life and social organization of bees.Construction and management of apiaries. Vegetation types for bee keeping. Pollination and beeflora studies. Consultancy services to farmers for the use of apiculture in boosting crop productivity. Products and uses of Apiculture.Economic importance of honey and honey products.
 
 
 
PSB 471          PLANT TISSUE CULTURE AND MICROPROPAGATION  2units
Laboratory safety and principles of aseptic culture.Plant anatomy/development review.Basic media components. Types of cultures – organ, callus, cell suspension-cultures, embryo rescue, protoplast isolation, culture and plant regeneration. Morphogenesis, organogenesis and embryogenesis.Applications of Plant Tissue Culture.
 
PSB 473          PHYTO-BIOFUELS                                                                                    1unit
Definitions and methods of production of bio-diesel, ethanol, methanol, smokeless coal etc.Burning of plant organic matter for production of biofuel. Clean energy production from plant materials. Fermentation of sugar, corn etc. for biofuel production.Biofuel from algae.Ethical issues in use of food materials for biofuel production.Energy from forestry etc.
 
PSB 474          PHYTOBIOTECHNOLOGY ETHICS                             1unit
Concerns about genetically modified crops: environmental, social and economic impacts. Risk/safety assessment of GM crops.Criteria for field testing of GM crops.Risk management.National/institutional bio-safety guidelines.UNIDO/UNEP/WHO/FAO working group guidelines on bio-safety.  Intellectual property rights on life forms: opportunities and concerns. Who owns biodiversity? etc. Ethical issues involved in biotechnological processes.
 
PSB 475     PLANT BIOPHYSICS                                                                               2units
Definitions and historical perspectives. Principles and techniques of Physics applied to solving plant science problems, like the use of X-ray crystallography in the analysis of the DNA structure etc.  Effects of magnetism, electromagnetism, light of different wavelengths, nanoparticles, ionizing radiations, various mutagenic agents, sound vibrations, radio waves, base station and handset radiations, microwave and electronic gadget radiations, high tension electric wires etc., on plant cells, tissues, organs, responses, growth, productivity etc.
 
PSB 477          APPLICATIONS OF PLANT BIOTECHNOLOGY                  2units
Mass propagation of plants including endangered and underutilized species.Production of disease – free plants.Production of haploids.Somatic hybridization.Mutation induction in vitro.Conservation and storage of plant materials in vitro.Biosynthesis of substances (Secondary metabolites) in vitro.Plant genetic transformation either through somaclonal variation or direct gene transfer.Diagnostic in plant diseases. Plant biotech applications in: food and agriculture; environment, medicine (as in medicinal plants and pharmaceuticals) and industries. GMOs and the environmentissues/guidelines.Intellectual property rights and patents.Engineering stress, herbicide, drought, disease, pesticide, tolerance etc. in plants.
 
PSB 481          SEMINAR                                                                             2units
Power Point presentation of reviews of selected and approved topics in Plant Science and Biotechnology. This gives students the opportunity to essentially read and digest many journal articles, from the internet and libraries, on a subject matter. The use of textbook will be very minimal. Softbound copies of write-ups are expected to be submitted as a vital part of the course.
 
PSB  491         PRINCIPLES OF SCIENTIFIC WRITING                                1 unit
Definitions and history of scientific writing: The IMRAD format of scientific writing. How to write the Abstract, Introduction, Materials and Methods, Results, Discussion, Acknowledgements and cite References.How to design effective Tables and Illustrations- Graphs, Photographs, Charts etc.
 
 
 
PSB  492         PROJECT                                                                                         6units
This is designed to give the student an opportunity to carry out a small independent research project on diverse aspects of Plant Science and Biotechnology, which must be approved by the Departmental Board and executed under the supervision of one or more members of staff. Two or more students may work on different aspects of a topic or subject matter. All students are expected to submit both hard and soft copies (CD) of their projects after examination and corrections.
 
 
Four Year Standard Programme
 First Year
First Semester
Course No	Course Title	    Units
Major Courses	 	 
PHY  121	Fundamentals of Physics I	3
PHY 195	Practical Physics II	2
Required Ancillary Courses	 	 
MTH  111	General Mathematics  I	3
MTH  121	General  Mathematics II	3
CHM  101	Basic Principles of Chemistry 1	2
CHM  171	Basic Practical Chemistry	2
General Studies		
GSP 101	The Use of English I	2
Total 		 17
Second Semester
Major Courses
PHY  122	Fundamentals of Physics II	3
PHY  124	Fundamentals of Physics III	3
PHY  196	Practical Physics III	2
Required Ancillary Courses
MTH 122           	General Mathematics III	3
CHM 112	Basic Principles of Chemistry II	2
CHM 122	Basic Principles of Chemistry III	2
General Studies		
GSP 102	The Use of English II	2
Total		17
Second Year
First Semester
Major Courses
PHY 211	Structure of Matter	3
PHY 221	Mechanics	2
PHY 241	Waves	3
PHY 251	Electromagnetism	2
Required Ancillary Courses
MTH   207	Advanced Mathematics	2
COS    201	Computer Programming I	2
 General Studies	 	 
GSP   201	Peace Studies and Conflict Resolution I 	2
GSP   207 	Humanities I 	2
Total		18
Second Semester
Major Courses
PHY  242	Physical Optics	3
PHY  262	Introduction to Atomic & Nuclear Physics	3
PHY  292	Practical Physics IV	2
Required Ancillary Courses
MTH  206	Advanced Mathematics VII	2
MTH  208	Advanced Mathematics VIII	2
General Studies
GS  202	Peace Studies and Conflict Resolution II	2
GS  208	Humanities II	2
Total		16
Third Year
First Semester
Major Courses
PHY 301  	Methods of Theoretical Physics I	2
PHY 311	Solid State Physics I	2
PHY 321	Relativity Physics	2
PHY 331	Thermal Physics	3
PHY 351	Electronics	2
PHY 391	Practical Physics V	2
PHY 393	Workshop Course I (Mechanical)	2
Elective Courses
A minimum of 3 Units to be chosen from the following
EE 211	Electrical Engineering I	3
ECE 311	Circuit Theory I	3
ECE 321	Physical Electronics	3
CHEM211	General Physical Chemistry	3
GEOL 211	Crystallography	2
STA203	Statistics for Physical Sciences & Engineering I	2
STA322	Regression Analysis	2
Total		18
 
 Second Semester
Major Courses
PHY 302	Methods of Theoretical Physics II	2
PHY 362	Quantum Mechanics I	3
PHY 382	An Introduction to Nanoscience and Nanotechnology	3
PHY 392	Practical Physics VI	2
PHY 394	Workshop Course I (Electronics)	2
PHY 396	Measurements and Instrumentation	2
Elective Courses
A minimum of 3 Units to be chosen from the following
CS202	Computer Programming II	3
EE 251	Electrical Engineering Lab	1
ECE 312	Circuit Theory II	3
ECE 322	Applied Electronics	2
CHEM251	Chemical Process Principles	2
MTH 222	Elementary Differential Equations I 	3
MTH 214	Mathematical Methods I	3
STA206	Mathematical Methods I	2
Total		17
Fourth Year
 First Semester
Major Courses
PHY401                                      	Computational Physics	2
PHY  403	General Physics	2
PHY  421
PHY  451
PHY  461	Analytical Mechanics
Electromagnetic Theory
Quantum Mechanics II	3
2
3
PHY  491	Practical Physics VII	2
A minimum of 4 Units from the course from any one group or, subject to Departmental Approval, from different groups.
(i) Astrophysics
PHY485	Galaxies 	2
PHY 487	High Energy Astrophysics	2
(ii) Geophysics
PHY 487	Meteorology	2
PHY 475	Industrial Geophysics	2
(iii) Industrial Physics
PHY 415	Science of Materials  	2
PHY 475	Industrial Geophysics	2
(iv) Solar Energy Physics
PHY 441	Solar Energy I	2
PHY 443	Biomas Energy	2
PHY 445	Nuclear Energy I	2
Total 		18
Major CoursesSecond Semester
PHY 416	Solid State Physics	3
PHY 438	Statistical Physics	2
PHY 462	Nuclear Physics	3
PHY 492	Practical Physics VIII	2
PHY 494	Project	4
A minimum of 4 Units to match the first Semester.
 (i) Astrophysics
PHY 486	Stellar Structure and Evolution	2
PHY 488	Modern Cosmology	2
(ii) Geophysics
PHY 472	Aeronomy	2
PHY 476	Physics of the Earth’s Interior	2
(iii) Industrial Physics
PHY 418	Physical Metallurgy	2
PHY 414	Introduction to Processes	2
PHY 456	Industrial Electronics	2
(iv) Solar Energy Physics
PHY 442	Solar Energy	2
PHY 444	Fossil Energy	2
PHY 446	Nuclear Energy II	2
Total 		18
Three Year Standard Undergraduate Programme
The same as the four year standard programme with the first year deleted, except that direct entry students take GSP 101 and GSP 102 – The Use of English and either GSP 207 and GSP 208 – Humanities or GSP 201 and GSP 202 – Peace Studies and Conflict Resolution I.
Service Courses
For enrollment in the service course, students must have at least a pass in Physics at the G.C.E. ordinary level or in an equivalent examination.
First Semester
PHY 111	General Physics for Life Sciences	2
PHY 115	General Physics for Physical Sciences 	2
PHY 191	Practical Physics I	2
Second Semester
PHY 112	General Physics for Life Sciences II	2
PHY 114	General Physics for Life Sciences III	2
PHY 116	General Physics for Physical Science II	2
PHY 118	General Physics for Physical Science III	2
Notes
1.	The service courses PHY 111, PHY 112, PHY 114 are especially designed for students in Faculties of Agriculture, Veterinary Medicine, Biological Sciences, Pharmaceutical Sciences and Medicine. (In these courses the use of calculus will be kept to a minimum).
2.	The service courses PHY 115, PHY 116, PHY 118 are recommended for students of the Faculties of Environmental and Physical Sciences.
3.	All Service Course Students except Engineering students are required to take PHY 191 – Practical Physics.
4.	Students of the Faculty of Engineering take PHY 121, PHY 116, PHY 124, and PHY 195  – Practical Physics II.
PHY  111        General Physics for Life Sciences I                                                       2 Units
Units and dimensions. Scalars and Vectors, Linear and Circular motion, velocity, acceleration. Laws of mechanics and gravitation; simple applications. Conservation of energy, momentum. Work and power. Simple harmonic motion, simple pendulum. Moment of inertia, Angular momentum; centrifugal and centripetal forces; centrifuge. Elasticity, Hook’s Law, Young’s modulus.  Fluids–pressure, surface tension, viscosity, osmosis, blood pressure and its measurement.
PHY   112       General Physics for Life Sciences II                                      2   Units
Concept of heat, temperature: measurement of temperature, clinical thermometer. Heat Capacity, specific heat, latent heat, calorimetry, Gas laws; Kinetic theory of gases. Thermal energy, isothermal and adiabatic changes. Conduction, convection ; radiation. Sound waves; intensity, pitch and quality of sound. Propagation of sound in solids, liquids and gases. Doppler effect. The ear. Reflection and refraction of light; plane and spherical mirrors, thin lenses; optical instruments. The eye, defects of vision and their corrections. Wave nature of light, interference, and diffraction. Velocity of light.
PHY    114      General Physics for Life Sciences III                                  2    Units
Electric charge, Coulomb’s Law, electric field, Electrostatic potential. Energy in electric field, Capacitors.  Dielectrics. Electric current, potential difference and electromotive force.  Ohm’s Law; potentiometer, meter bridge, Wheatstone bridge. Magnetic effects of current; permanent magnetism, earth’s magnetic field.  Faraday’s Law of induction, generators and electric motor.  Alternating currents. Maxwell’s equations.  Structure of the atom. Radioactivity.  X-rays applications in life sciences, Nuclear energy.
PHY   115       General Physics for Physical Sciences I                                             2 Units
Units and dimensions. Elements of vector algebra. Kinematics, linear and circular motion. Laws of mechanics and gravitation, simple applications, motion of planets. Conservation laws, energy, momentum; work and power. Rigid bodies moment of inertia. Angular momentum. Simple harmonic motion, simple and compound pendulums, damped and forced vibrations. Elasticity, modulus of elasticity, bending moments, fluid mechanics.
PHY    116      General Physics for Physical Sciences II                                            2    Units
Temperature and its measurement.  Heat capacity, specific heat, latent heat, critical points.  Calorimetry. Gas Laws; Kinetic theory of gases; thermal energy, work done by expanding gases; laws of thermodynamics. Liquefaction of gases. Heat transfer; conduction, convection, radiation.  longitudinal and transverse waves; vibrations in solids. Sound waves in solid, liquids, gases; pitch, intensity and quality of sound. Doppler effect.  Acoustics of buildings. Ultrasonics. Reflection and refraction of light; spherical mirrors; thin and thick lenses; optical instruments. Wave nature of light; interference, diffraction, polarization. Velocity of light
PHY    118      General Physics for Physical Sciences III                                            2   Units
Electrostatics; Coulomb’s law, electric field, Gauss’s law, electrostatic potential, fields due to simple charge distributions. Energy in electric fields, capacitance, Dielectrics, Polarization. Electric current, Ohms law, Elements of circuit theory. Thermoelectric effect.  Magnetic effects of current. Electromagnetics, Ampere’s law, field due to simple circuits. Permanent Magnetism, Earth’s magnetic field; ferromagnetism,. Faraday’s law of induction; generators, electric motors. Alternating currents, Moving coil instruments, Maxwell’s equations. Elements of atomic and nuclear physics.
PHY    121      Fundamentals of Physics I                                                                   3 Units
Units and dimensions. Vector algebra. Kinematics and dynamics of a mass point. Laws of mechanics and gravitation. Kepler’s laws. Motion of rigid bodies, moment of inertia; angular momentum. Simple harmonic motion. Elastic properties of solids, moduli of elasticity. Surface tension, viscosity; fluid mechanics and hydrodynamics. Ideal gas laws. Kinetic theory of gases
PHY    122      Fundamentals of Physics II                                                                3    Units
Heat and temperature. Calorimetry; Laws of thermodynamics. Change of state –critical points. Heat transfer; conduction, convection and radiation. blackbody radiation. wave motion, longitudinal and transverse waves. Superposition of waves, interference and diffraction.  Propagation of sound waves in material media, vibrations in solids; Wave theory of light, polarization of light. Rectilinear propagation of light, reflection, refraction; mirrors and lenses lens combinations, optical instrument. Doppler effect.
 PHY  124        Fundamentals  of Physics III                                                   3  Units
Electrostatics; Coulomb’s law, Gauss’s law, simple applications. Electric field, Electrostatic potential.  Energy in electric field, capacitance.  Insulators, conductors, dielectrics; polarization. Electric current.  Ohm’s law, circuit analysis.  Thermoelectricity.  Magnetic effects of current, Ampere’s law, Applications. Permanent magnetism, earth’s magnetic field. Faraday’s law of Induction.  Alternating currents & A.C circuits.  Measuring devices.  Motion of a charged particle in electric and magnetic fields, Hall effect.  Atomic and Nuclear Structure.  Nuclear fission and fusion. Nuclear reactor. Maxwell’s equations. Alternating Currents, A.C. Circuits. Measuring devices. Motion of a charged particle in electric and magnetic fields, Hall effect. Atomic and Nuclear Structure. Nuclear fission and fusion. Nuclear reactor.
 PHY   191       Practical Physics I                                                                 2   Units
Selected Experiments from the 100-level courses in Physics for Service Courses.
 PHY   195      Practical Physics   II                                                                               2    Units
Selected Experiments from the 100 – level courses in Physics for Physics Majors and Engineering students.
 PHY  196        Practical Physics  III                                       2    Units
 Selected Experiments from the 100 – Level Courses in Physics
 For Physics majors
 PHY  211        Structure of Matter                                                                                2    Units
(Prerequisite:  PHY 121 and PHY 122)
Structure of Solids, basic crystal structures, space lattices, primitive cells and Brillouin zones, Bragg’s law of reflection for X-rays.  Types of crystals, crystal binding and mechanical properties, theory of elasticity, Fluid mechanics, equation of continuity, supersonic flow.  Kinetic theory of gases; thermal conductivity, viscosity and diffusion of gases; gases at low pressures; van der Waals equation, Brownian motion.
PHY  221       Mechanics                                                                                               2   Units
(Prerequisite PHY 115 or PHY 121)
Kinematics and mechanics of many particle system; angular momentum.  Dynamics of rigid bodies, moment of inertia; symmetric top, gyroscope.  Central forces; gravitational potential problems. Coriolis force.  Kepler’s   laws of planetary motion. Inertial frames, Galilean transformation; Constancy of speed of light.  Lorentz   transformation, length contraction and time dilatation, Einstein’s mass-energy relation.
PHY 241        Waves                                                                                                   2     Units 
(Prerequisite:  PHY 116 or PHY 122)
General properties of wave motion, longitudinal and transverse waves.  Propagation of waves; effect of medium, dispersion, phase and group velocity, attenuation of waves.  Wave equations- plane wave solution, spherical and cylindrical wave solutions. Reflection and refraction of waves. Interference of waves  Vibrating strings, longitudinal waves in metal bar; free and forced vibrations, resonance,  coupled oscillations.  Fourier analysis.  Elastic waves in solids. Interference and diffraction of light.
PHY    242     Physics Optics                                                                                                            3 Units
(Prerequisite: PHY 116 or PHY 122)
Interference of light, types of fringes; division of wave front, Fresnel’s bi-prism, Rayleigh refreactometer; division of amplitude, interference in thin films. Newton’s rings, Michelson interferometer, Fabryperot interferometer, inference filters, Differaction; Fraunhofer diffraction, single slit, circular aperture; zone plate, Cornu’s spiral. Resolving power of optical instruments. Polarisation of light, production and analysis of polarized lights, optical activity, phase-contrast microscope.
PHY    251      Electromagnetism                                                                  2   Units
(Prerequisite: PHY 118 or PHY 124)
Electrostatics. Gauss’ Law. Fields of charge distribution, methods of images. Dielectrics, polarization, Electric current, current density. D.C. Network theory.  Amperes Law, Magnetic fields of simple circuits. Transients in capacitive and inductive circuits.  A.C. circuits analysis. Magnetization and hysteresis. Permanent magnetism – Diamagnetism, Paramagnetism and Ferromagnetism. Lorentz force. Hall effect. Maxwell’s equation – electromagnetic waves.
PHY    262      Introduction to Atomic & Nuclear Physics                                   2    Units
Experimental tests of inadequacies of classical physics, concept of quanta, wave-particle duality. Bohr’s theory of structure of atom and applications of Bohr’s theory. Broglie waves, Davisson &Germer’s experiment. Concept of spin – Pauli’s exclusion principle.  Introduction to atomic and molecular spectra. X-rays. Lasers. Radioactivity. Structure of nuclei.  Nuclear fission and fusion. Nuclear reactors. Feasibility of fusion  power; Detectors. Accelerators.
PHY    292      Practical Physics IV                                                                2   Units
(Prerequisite: PHY 195 or  PHY 196)
Selected Experiments from the 200-Level Physics Courses.
PHY    301      Methods of Theoretical Physics I                             3    Units
Rotation and Translation in three dimensional space, coordinate transformations; curvilinear coordinates. Basic properties of matrices and determinants.  Cauchy-Riemann relations, Partial Differentiation and double integrals. Power series. Complex variables, Argand diagram, Cauchy’s theorem, residue theorem and contour integrations applied to problems in Physics. Fourier’s analysis, Fourier transforms and their applications to problems in Physics. Dimensional analysis and applications. First and Second order Partial differential equations in Physics; Heat diffusion equation; wave equations. Methods of Solution; Separation of variables, Laplace transforms.  Special functions: Bessel Functions, Legendre and Hermite Polynomials, Spherical harmonics, Beta, Gamma and error functions and their applications.
PHY    302      Methods of Theoretical Physics II                                                               2 Units
Dimensional analysis and applications. First and Second order Partial differential equations in Physics; Heat diffusion equation; wave equations. Methods of Solution; Separation of variables, Laplace transforms, eigen values and eigen functions. Special functions: Bessel Functions, Legendre and Hermite Polynomials, Spherical Harmonics, Beta and Gamma Functions and their applications.
PHY    311      Solid State Physics I                                                  2    Units
Crystal structure of solids, space lattices, the reciprocal lattice primitive cells and Brillouin Zones: Miller indices, structure factor.  Crystal diffraction by X-rays, electrons and neutrons,. Crystal binding and mechanical properties of solids.  Theory of elasticity; lattice vibrations of monoatomic and diatomic linear chains; free electron theory of metals.
PHY 321      Relativity Physics                                                                     2     Units
(Prerequisite: PHY 221)
Galilean transformation, Michelson- Morley experiment,Constancy of velocity of light; limitations of classical mechanics. Lorentz transformations. Time dilation, length contraction, simultaneity of events, relativistic addition of velocities. Relativistic kinematics, Four vectors, relativistic invariance, invariance of Maxwell’s equation. Doppler effect. Mass-Energy equivalence.
PHY    331      Thermal Physics                                                                                3     Units
(Prerequisite: PHY 122)
Laws of thermodynamics and applications, Entropy. Third law of thermodynamics. reversible and irreversible processes – Carnot’s cycle, heat engines – isothermal and adiabatic expansion. Thermodynamic potentials, Maxwell’s relations. Joule-Kelvin effect – refrigeration. Equation of state of perfect gas; Maxwell-Boltzmann statistics, Partition function; Equipartition theorem. Low temperature physics. Blackbody radiation.
PHY    351      Electronics                                                                                         2     Units
(Prerequisite: PHY 251)
Electronic device characteristics, equivalent circuits; four terminal network. Various types of amplifiers, frequency and phase response, distortion, feedback oscillators. Semi-conductor theory and devices, characteristics; Communication systems: modulation, A.M, F.M, single side band; demodulation, Elements of logic circuitry. Analog to digital conversion. Computers.
